UI_VR_RECENTRE	{Recentre VR View}
Upgrades to specific functions such as weapons or engines can be purchased from <TECHNOLOGY>Technology Merchants<>.}
UI_CHAT_DESTINATION_STATION	{%NAME% is flying to the Space Station}
UI_CHAT_DESTINATION_NEXUS	{%NAME% is flying to the Space Anomaly}
UI_CHAT_DESTINATION_ATLAS	{%NAME% is charting a course to an Atlas Interface}
UI_CHAT_DESTINATION_PLAYER	{%NAME% is flying towards %OTHERPLAYER%}
UI_CHAT_DESTINATION_BHOLE	{%NAME% is approaching a Black Hole}
UI_CHAT_DESTINATION_FREIGHT	{%NAME% is locked on to the freighter %FREIGHTERNAME%}
UI_CHAT_DESTINATION_UNKNOWN_P	{%NAME% is flying towards an unmapped planet}
UI_CHAT_DESTINATION_UNKNOWN_M	{%NAME% is flying towards an unmapped moon}
UI_CHAT_DESTINATION_MOON	{%NAME% is flying towards the moon %PLANET%}
UI_CHAT_SURVEY_HOTSPOT	{%NAME% has surveyed a hotspot (%CATEGORY%)}
MULTI_WEAP_EXCHANGE	{Exchange}
SHORT_WEAP_EXCHANGE_DESC	{Trade in current Multi-Tool}
WEAP_BUY_UNITS	{Buy (%COST% Units)}
SHORT_WEAP_BUY_ADD_DESC	{Buy and add to collection}
UI_ECON_POS_TECH	{Economy Demands Technology}
UI_ECON_POS_MINING	{Economy Demands Minerals}
UI_ECON_POS_TRADE	{Economy Demands Luxuries}
UI_ECON_POS_MANUFACT	{Economy Demands Parts}
UI_ECON_POS_ALLOY	{Economy Demands Exotic Goods}
UI_ECON_POS_SCIENCE	{Economy Demands Scientific Goods}
UI_ECON_POS_POWER	{Economy Demands Energy}
UI_ECON_NEG_TECH	{Produced Locally}
UI_ECON_NEG_MINING	{Produced Locally}
UI_ECON_NEG_TRADE	{Produced Locally}
UI_ECON_NEG_MANUFACT	{Produced Locally}
UI_ECON_NEG_ALLOY	{Produced Locally}
UI_ECON_NEG_SCIENCE	{Produced Locally}
UI_ECON_NEG_POWER	{Produced Locally}
UI_SHOP_AVAILABLE	{Available To Buy}
UI_SHOP_WANTED	{Sellable Items}
UI_MAPS_AVAILABLE	{Available Charts}
QUICK_MENU_ONLY_ONE_GUN	{Only One Multi-Tool Available}
UI_UTILITIES	{UTILITIES}
UI_HYPERDRIVE	{HYPERDRIVE}
UI_ARMOUR	{DEFENSIVE SYSTEMS}
UI_WEAPONS	{WEAPONRY}
UI_TERRAINMODE_FLATTEN	{FLATTEN}
NEW_SHIP_SLOT	{Add New Inventory Slot}
UI_OUTFITS_HEADER	{Saved Outfits}
SAVE_U	{SAVE}
UI_SAVE_OUTFIT_TITLE	{OVERRIDE OUTFIT?}
UI_SAVE_OUTFIT_CONFIRM	{Saving this custom outfit will override the settings currently stored in this slot. Do you wish to continue?}
UI_CHANGE_OUTFIT_CONFIRM_TITLE	{DISCARD CHANGES?}
UI_CHANGE_OUTFIT_CONFIRM	{The current outfit has been changed, but those changes have not been saved. Are you sure you want to leave the Customiser?}
UI_DEMAND_SUFFIX	{<NEU_AVG>Demand:<> %AMOUNT%}
UI_DEMAND_SUFFIX_ALT	{<NEU_AVG>Price:<> %AMOUNT%}
TRADE_BUY_MAPS	{<IMG>SELECT<> Exchange %AMOUNT% chart}
TRADE_BUY_MAPS_PLURAL	{<IMG>SELECT<> Exchange %AMOUNT% charts}
UI_BUY_MAP_HEADER	{EXCHANGE %AMOUNT% CHART}
UI_BUY_MAP_HEADER_PLURAL	{EXCHANGE %AMOUNT% CHARTS}
UI_INSUFFICIENT_NAVDATA	{Insufficient Navigation Data}
TRADE_MAPS_SUB	{Exchange <STELLAR>Navigation Data<> for new charts}
UI_LONELY_NEXUS_CONFIRM_TITLE	{STARTING MULTIPLAYER MISSION}
UI_LONELY_NEXUS_CONFIRM	{You are about to begin a challenging multiplayer mission on your own. Other Travellers may join if you wait.

Are you sure you want to continue?}
UI_BUILD_TIP_PIN	{Pin Recipe %INPUT%}
UI_BUY_FREE	{Free}
UI_OUTFIT_ERROR	{No Custom Outfit Saved}
SHIP_BUY_FREE	{Claim Ship (Free)}
WEAP_BUY_FREE	{Take Multi-Tool (Free)}
UI_CIVILIAN_MURDER_OSD	{CIVILIAN SHIP DESTROYED <IMG>SLASH<> AUTHORITIES ALERTED}
UI_HARVEST_ALL	{Harvest All Plants}
UI_PULSE_DRIVE_BLOCKED	{PULSE DRIVE DISABLED <IMG>SLASH<> HOSTILE SHIPS IN RANGE}
UI_PULSE_DRIVE_UNLOCKED	{PULSE DRIVE BACK ONLINE <IMG>SLASH<> ESCAPE POSSIBLE}
UI_REMOVE_MARKER	{Remove This Marker}
UI_LOW_STANDING_OSD	{Insufficient Standing with the %FACTION%}
UI_BASE_DELETE_MSG	{Find <FUEL>deletion tools<> by holding <IMG>BUILD_DELETE<>
Deleting a part within your base gives a full refund}
UI_PULSE_DRIVE_CHARGE_MSG	{Refuel the <TECHNOLOGY>Pulse Engine<>
Refuel from the Inventory (<IMG>INVENTORY<>) or from the Quick Menu (<IMG>QUICK_MENU<>)}
UI_UNDERWATER_WARN_OSD	{<FUEL>WARNING<>: Oxygen critical!
Return to the surface immediately!}
UI_DAMAGE_POTENTIAL	{Peak Damage Potential: <STELLAR>%AMOUNT%<> DPS}
UI_PLAYER_BUSY	{Busy}
UI_NEXUS_ABANDON_TIP	{Some progress is <FUEL>not saved<> while on a Nexus mission
Return to the Nexus if you want to abandon the mission}
UI_NEXUS_BINOCS_LABEL	{Anomalous Region}
UI_VR_HEAD_BOB	{VR Head Bob}
UI_VR_SHOW_BODY	{Show Body in VR}
UI_BYTE_BEAT_EXIT	{Exit}
BYTE_BEAT_CATEGORY	{Audio Function}
UI_BYTE_BEAT	{Audio Generator}
INTRCT_BYTEBEAT	{Bytebeat Device}
UI_BYTEBEAT_UTIL_SUB	{ByteBeat Extension}
UI_BYTEBEAT_INSERT_NUMBER	{PLACE NUMBER}
UI_BYTEBEAT_INSERT_NUMBER_SUB	{Insert numerical data into the generator pattern}
UI_BYTEBEAT_INSERT_TOKEN	{PLACE FUNCTION}
UI_BYTEBEAT_INSERT_TOKEN_SUB	{Insert an operator into the generator pattern}
UI_BYTEBEAT_DELETE	{DELETE}
UI_BYTEBEAT_DELETE_SUB	{Remove this sequence entry}
INTRCT_BYTEBEAT_KEYB_HEADER	{Enter Audio Function}
BLD_BYTEBEAT_NAME	{BYTEBEAT DEVICE}
BLD_BYTEBEAT_NAME_L	{Bytebeat Device}
BLD_BYTEBEAT_SUB	{Audio Synthesiser}
BLD_BYTEBEAT_DESC	{An advanced audio generator, allowing the user to <TECHNOLOGY>synthesise complex musical arrangements<>.

Multiple devices may be placed in sequence or connected to <STELLAR>lights<> to generate spectacular displays.}
UI_BB_TREE_HEADER	{ADVANCED WAVEFORM}
UI_BB_SEQUENCER_HEADER	{SEQUENCER}
UI_BB_COPY_BUTTON	{Copy}
UI_BB_PASTE_BUTTON	{Paste}
UI_BB_LABEL_ONE	{1}
UI_BB_LABEL_TWO	{2}
UI_BB_LABEL_THREE	{3}
UI_BB_LABEL_FOUR	{4}
UI_BB_LABEL_EIGHT	{8}
UI_BB_LABEL_SIXTEEN	{16}
UI_BB_HOVER_BPM	{BPM}
UI_BB_HOVER_KEY	{Key}
UI_BB_HOVER_KEY_C_MAJOR	{C Major}
UI_BB_HOVER_KEY_CS_MAJOR	{C# Major}
UI_BB_HOVER_KEY_D_MAJOR	{D Major}
UI_BB_HOVER_KEY_EF_MAJOR	{Eb Major}
UI_BB_HOVER_KEY_E_MAJOR	{E Major}
UI_BB_HOVER_KEY_F_MAJOR	{F Major}
UI_BB_HOVER_KEY_FS_MAJOR	{F# Major}
UI_BB_HOVER_KEY_G_MAJOR	{G Major}
UI_BB_HOVER_KEY_AF_MAJOR	{Ab Major}
UI_BB_HOVER_KEY_A_MAJOR	{A Major}
UI_BB_HOVER_KEY_BF_MAJOR	{Bb Major}
UI_BB_HOVER_KEY_B_MAJOR	{B Major}
UI_BB_HOVER_KEY_C_MINOR	{C Minor}
UI_BB_HOVER_KEY_CS_MINOR	{C# Minor}
UI_BB_HOVER_KEY_D_MINOR	{D Minor}
UI_BB_HOVER_KEY_EF_MINOR	{Eb Minor}
UI_BB_HOVER_KEY_E_MINOR	{E Minor}
UI_BB_HOVER_KEY_F_MINOR	{F Minor}
UI_BB_HOVER_KEY_FS_MINOR	{F# Minor}
UI_BB_HOVER_KEY_G_MINOR	{G Minor}
UI_BB_HOVER_KEY_AF_MINOR	{Ab Minor}
UI_BB_HOVER_KEY_A_MINOR	{A Minor}
UI_BB_HOVER_KEY_BF_MINOR	{Bb Minor}
UI_BB_HOVER_KEY_B_MINOR	{B Minor}
UI_BB_HOVER_ATTENUATION	{Distance Attenuation}
UI_BB_HOVER_VOLUME	{Volume}
UI_BB_HOVER_STOP	{Stop}
UI_BB_HOVER_PLAY	{Play}
UI_BB_HOVER_RANDOMISE_ALL	{Randomise All Elements}
UI_BB_HOVER_MELODY_HEADER	{MELODY SEQUENCER}
UI_BB_HOVER_RHYTHM_HEADER	{RHYTHM SEQUENCER}
UI_BB_HOVER_ARPEGGIATOR_HEADER	{ARPEGGIATOR}
UI_BB_HOVER_ENVELOPE_HEADER	{ENVELOPE EDITOR}
UI_BB_HOVER_WAVERFORM_HEADER	{WAVEFORM EDITOR}
UI_BB_HOVER_CLEAR	{Clear}
UI_BB_HOVER_RANDOMISE	{Randomise}
UI_BB_HOVER_DISABLE	{Disable}
UI_BB_HOVER_ENABLE	{Enable}
UI_BB_HOVER_STEPS_SUB	{Steps}
UI_BB_HOVER_RHYTHM_RAND_SUB	{Randomise Sounds}
UI_BB_HOVER_LENGTH_SUB	{Length}
UI_BB_HOVER_OCTAVE_SUB	{Octave Range}
UI_BB_HOVER_STEP_SIZE_SUB	{Step Size}
UI_BB_HOVER_ARPEGGIO1_SUB	{Pattern: Up}
UI_BB_HOVER_ARPEGGIO2_SUB	{Pattern: Down}
UI_BB_HOVER_ARPEGGIO3_SUB	{Pattern: Up-Down}
UI_BB_HOVER_ARPEGGIO4_SUB	{Pattern: Down-Up}
UI_BB_HOVER_PITCH_SUB	{Pitch}
UI_BB_HOVER_WAVEFORM1_SUB	{Sawtooth}
UI_BB_HOVER_WAVEFORM2_SUB	{Sine}
UI_BB_HOVER_WAVEFORM3_SUB	{Square}
UI_BB_HOVER_WAVEFORM4_SUB	{Triangle}
UI_BB_HOVER_NOTE_RESET_ON_SUB	{Reset On Next Note: On}
UI_BB_HOVER_NOTE_RESET_OFF_SUB	{Reset On Next Note: Off}
UI_BB_HOVER_ATTACK_SUB	{Attack}
UI_BB_HOVER_DECAY_SUB	{Decay}
UI_BB_HOVER_NOTE_LENGTH_SUB	{Note Speed}
UI_BB_HOVER_MELODY_CLEAR	{Melody Sequencer: Clear}
UI_BB_HOVER_MELODY_RAND	{Melody Sequencer: Randomise}
UI_BB_HOVER_MELODY_STEPS	{Melody Sequencer: Steps}
UI_BB_HOVER_RHYTHM_OFF	{Rhythm Sequencer: Disable}
UI_BB_HOVER_RHYTHM_CLEAR	{Rhythm Sequencer: Clear}
UI_BB_HOVER_RHYTHM_RAND	{Rhythm Sequencer: Randomise Sounds}
UI_BB_HOVER_ARPEGGIATOR_OFF	{Arpeggiator: Disable}
UI_BB_HOVER_ARPEGGIATOR_RAND	{Arpeggiator: Randomise}
UI_BB_HOVER_ARPEGGIATOR_LENGTH	{Arpeggiator: Length}
UI_BB_HOVER_ARPEGGIATOR_KNOB1	{Arpeggiator: Octave Range}
UI_BB_HOVER_ARPEGGIATOR_KNOB2	{Arpeggiator: Step Size}
UI_BB_HOVER_ARPEGGIATOR_LINE1	{Arpeggiator Pattern: Up}
UI_BB_HOVER_ARPEGGIATOR_LINE2	{Arpeggiator Pattern: Down}
UI_BB_HOVER_ARPEGGIATOR_LINE3	{Arpeggiator Pattern: Up-Down}
UI_BB_HOVER_ARPEGGIATOR_LINE4	{Arpeggiator Pattern: Down-Up}
UI_BB_HOVER_WAVEFORM_NUM	{Waveform: Pitch}
UI_BB_HOVER_WAVEFORM_LINE1	{Waveform: Sawtooth}
UI_BB_HOVER_WAVEFORM_LINE2	{Waveform: Sine}
UI_BB_HOVER_WAVEFORM_LINE3	{Waveform: Square}
UI_BB_HOVER_WAVEFORM_LINE4	{Waveform: Triangle}
UI_BB_HOVER_ENVELOPE_RAND	{Envelope: Randomise}
UI_BB_HOVER_ENVELOPE_RESET_ON	{Envelope Note Reset: On}
UI_BB_HOVER_ENVELOPE_RESET_OFF	{Envelope Note Reset: Off}
UI_BB_HOVER_ENVELOPE_ATTACK	{Envelope: Attack}
UI_BB_HOVER_ENVELOPE_DECAY	{Envelope: Decay}
UI_BB_HOVER_ENVELOPE_LENGTH	{Envelope: Note Length}
UI_BB_TREE_OP_MULTI	{OPERATOR: MULTIPLY}
UI_BB_TREE_OP_DIVIDE	{OPERATOR: DIVIDE}
UI_BB_TREE_OP_PLUS	{OPERATOR: ADD}
UI_BB_TREE_OP_MINUS	{OPERATOR: SUBTRACT}
UI_BB_TREE_OP_AND	{OPERATOR: AND}
UI_BB_TREE_OP_OR	{OPERATOR: OR}
UI_BB_TREE_OP_XOR	{OPERATOR: XOR}
UI_BB_TREE_OP_PERCENT	{OPERATOR: MODULO}
UI_BB_TREE_OP_GREATER	{OPERATOR: GREATER THAN}
UI_BB_TREE_OP_LESSER	{OPERATOR: LESSER THAN}
UI_BB_TREE_OP_GREATER_EQUAL	{OPERATOR: GREATER OR EQUAL}
UI_BB_TREE_OP_LESSER_EQUAL	{OPERATOR: LESSER OR EQUAL}
UI_BB_TREE_OP_SHIFT_R	{OPERATOR: SHIFT RIGHT}
UI_BB_TREE_OP_SHIFT_L	{OPERATOR: SHIFT LEFT}
UI_BB_TREE_WAVEFORM1	{WAVEFORM: SAWTOOTH}
UI_BB_TREE_WAVEFORM2	{WAVEFORM: SINE}
UI_BB_TREE_WAVEFORM3	{WAVEFORM: SQUARE}
UI_BB_TREE_WAVEFORM4	{WAVEFORM: TRIANGLE}
UI_BB_TREE_NUMBER	{NUMERICAL INPUT}
UI_BB_TREE_RANDOM_TITLE	{RANDOMISE}
UI_BB_TREE_RANDOM_SUB	{Randomise Entire Sub-Tree}
UI_BB_TREE_PREV_TITLE	{PREVIOUS}
UI_BB_TREE_PREV_SUB	{Select Previous Operator}
UI_BB_TREE_NEXT_TITLE	{NEXT}
UI_BB_TREE_NEXT_SUB	{Select Next Operator}
UI_BB_TREE_PREV_WAVE_SUB	{Select Previous Waveform}
UI_BB_TREE_NEXT_WAVE_SUB	{Select Next Waveform}
UI_BB_TREE_INCREASE_TITLE	{INCREASE}
UI_BB_TREE_INCREASE_SUB	{Increase Input Number}
UI_BB_TREE_DECREASE_TITLE	{DECREASE}
UI_BB_TREE_DECREASE_SUB	{Decrease Input Number}
UI_BB_TREE_REMOVE_TITLE	{REMOVE NODE}
UI_BB_TREE_REMOVE_SUB	{Remove This Sub-Tree}
UI_BASE_ERROR_NO_REPORT	{Cannot Report Base}
UI_BASE_ERROR_NO_COLOUR	{Cannot Apply Colour}
UI_BASE_ERROR_NO_MATERIAL	{Cannot Apply Material}
UI_SHIP_VALUE_FORMAT	{%AMOUNT%   (%BASEAMOUNT% Core)}
BLD_U_BBLINE_NAME	{BYTEBEAT CABLE}
BLD_U_BBLINE_NAME_L	{ByteBeat Cable}
BLD_U_BBLINE_DESC	{Advanced cabling, designed to link one or more <TECHNOLOGY>Bytebeat Generators<> or to connect a <TECHNOLOGY>Bytebeat Switch<> to the network.

The signal will synchronize connected lights and device to the generated waveform.}
BLD_U_BBSWITCH_NAME	{BYTEBEAT SWITCH}
BLD_U_BBSWITCH_NAME_L	{Bytebeat Switch}
BLD_U_BBSWITCH_DESC	{A musical switching device, designed to interpret waveform signals generated by a <TECHNOLOGY>Bytebeat Generator<> and output electrical impulses to connected <TECHNOLOGY>lights<> and other devices.}
UI_BB_PART_SEQUENCER_HEADER	{Synchroniser}
UI_BB_PART_SEQUENCER_HEADER_U	{SYNCHRONISER}
UI_BB_PART_SEQ_LOOP	{Loop}
UI_BB_PART_SEQ_ONESHOT	{One-Shot}
UI_BB_PART_SEQ_BEAT	{On Beat}
UI_BB_PART_SEQ_FINISH	{On Finish}
UI_BB_PART_SEQ_BASE	{On Base Note}
UI_BB_PART_SEQ_ARPEGGIO	{On Arpeggio Note}
UI_BB_PART_SEQ_RHYTHM	{On Rhythm}
UI_BB_PART_SEQ_TRIGGER	{Trigger Conditions:}
UI_BB_SYNCH_THIS_DEVICE	{This Device}
UI_BB_SYNCH_OTHER_DEVICE	{Other Device}
UI_BB_SYNCH_NO_DEVICE	{No Device Connected}
UI_BB_SYNCH_STATUS	{Connected Devices: %CURRENT% / %MAX%}
UI_BB_SYNCH_LOOP	{Loop %NUM% / %MAX%}
UI_BB_RHYTHM_SNARE	{Snare %NUM%}
UI_BB_RHYTHM_KICK	{Kick Drum %NUM%}
UI_BB_RHYTHM_HITHAT	{Hi-Hat %NUM%}
UI_BB_RHYTHM_NEXT	{Next}
UI_BB_HOVER_SOLO	{Play Only This Device}
UI_MP_MISSION_LEAVE_NEXUS	{Return to your ship and leave the Space Anomaly
Crew may be <STELLAR>warped<> to the mission location}
UI_MP_LEAVE_NEXUS_NO_WARP	{Return to your ship and leave the Space Anomaly}
UI_MP_MISSION_LEAVE_NEXUS_TIMER	{Return to your ship and leave the Space Anomaly: <FUEL>%TIME%<>
Crew may be <STELLAR>warped<> to the mission location}
UI_MP_MISSION_LEAVE_NEXUS_FAIL	{Mission Timeout: '%MISSION%' Abandoned}
UI_MP_MISSION_HARD	{<FUEL>WARNING<>: HAZARDOUS MISSION. PROCEED WITH CAUTION.}
UI_MP_MISSION_PLANET_ARRIVE_OSD	{Target Planet Reached}
UI_STARCHART_HINT_TITLE	{Planetary Chart Received}
UI_STARCHART_HINT_MSG	{A <STELLAR>Planetary Chart<> contains directions to a <SPECIAL>point of interest<>
Access the Planetary Chart in your Inventory (<IMG>INVENTORY<>) and <STELLAR>plot a route<> with <IMG>FE_ALT1<>
Collect new charts from the <TRADEABLE>Cartographer<> on Space Stations}
UI_POWER_TUT_TITLE	{Powering the Base}
UI_POWER_TUT_SUB	{Generate & Distribute Power}
UI_POWER_TUT_DESC	{My base has grown in size and capabilities. This new size and technology is drawing more power than the Base Computer can supply on its own.

I will need to deploy <TECHNOLOGY>Power Modules<> to generate and distribute electricity.}
UI_POWER_TUT_OBJ1	{Learn the Biofuel Reactor}
UI_POWER_TUT_OBJ1_TIP	{Advanced technology requires <TECHNOLOGY>Power Modules<> to run
Process <TECHNOLOGY>Salvaged Data<> with a <TECHNOLOGY>Construction Research Unit<>
Direct the Construction Research Unit towards <STELLAR>Buildable Technology<>}
UI_POWER_TUT_MSG1	{Learn the <TECHNOLOGY>Biofuel Reactor<>
Learn base modules at the <TECHNOLOGY>Construction Research Unit<>
Select <STELLAR>Buildable Technology<> to browse available plans}
UI_POWER_TUT_MSG1A	{Learn the <TECHNOLOGY>Biofuel Reactor<>
Learn base modules at a <TECHNOLOGY>Construction Research Unit<>
Deploy a <TECHNOLOGY>Construction Research Unit<> at your base}
UI_POWER_TUT_MSG1B	{Learn the <TECHNOLOGY>Biofuel Reactor<>
Explore the planet and locate <TECHNOLOGY>Buried Technology<>: 0 / 1}
UI_POWER_TUT_OBJ2	{Construct a Biofuel Reactor}
UI_POWER_TUT_OBJ2_TIP	{Advanced technology requires <TECHNOLOGY>Power Modules<> to run.
Construct a Biofuel Reactor within your base.}
UI_POWER_TUT_MSG2	{Construct a <TECHNOLOGY>Biofuel Reactor<>
Access the Build Menu with <IMG>BUILD_MENU<>
While building, activate the <COMMODITY>Building Camera<> with <IMG>BASE_CAM<>}
UI_POWER_TUT_MSG2_VR	{Construct a <TECHNOLOGY>Biofuel Reactor<>
Access the Build Menu with <IMG>BUILD_MENU<>}
UI_POWER_TUT_OBJ3	{Learn Electrical Wiring}
UI_POWER_TUT_OBJ3_TIP	{Direct the Construction Research Unit towards <STELLAR>Technology Research<>
Researching <TECHNOLOGY>Electrical Wiring<> is <STELLAR>free<>}
UI_POWER_TUT_MSG3	{Learn <TECHNOLOGY>Electrical Wiring<>: 0 / 1
Select <STELLAR>Buildable Technology<> at the <TECHNOLOGY>Construction Research Unit<>
Researching <TECHNOLOGY>Electrical Wiring<> is <STELLAR>free<>}
UI_POWER_TUT_OBJ4	{Connect the Power Grid}
UI_POWER_TUT_OBJ4_TIP	{Use <TECHNOLOGY>Electrical Wiring<> to connect the <TECHNOLOGY>Biofuel Reactor<> to any components requiring power.
Wiring is free to place. Select Electrical Wiring in the Build Menu (<IMG>BUILD_MENU<>) and place on a plug socket to begin laying wires.
Snap wires directly to another plug socket or place along the ground to lay out interim paths.
While building, activate the <COMMODITY>Building Camera<> with <IMG>BASE_CAM<>.}
UI_POWER_TUT_MSG4	{To create a <STELLAR>Power Grid<>, select Electrical Wiring in the Build Menu (<IMG>BUILD_MENU<>)
Target the <TECHNOLOGY>Biofuel Reactor<> and begin laying wires with <IMG>BUILD_PLACE<>
Snap wires directly to parts or place along the ground to lay out paths}
UI_POWER_TUT_OBJ5	{Fuel the Biofuel Reactor}
UI_POWER_TUT_OBJ5_TIP	{Fuel the <TECHNOLOGY>Biofuel Reactor<>.
Interact with the generator and select the <TECHNOLOGY>Furnace Tank<> to apply fuel.
More advanced generators do not require manual fuelling.}
UI_POWER_TUT_MSG5	{Fuel the <TECHNOLOGY>Biofuel Reactor<>
Interact with the generator and select the <TECHNOLOGY>Furnace Tank<>
Advanced generators do not require manual fuelling}
UI_GUIDE_TOPIC_POWER	{Powering the Base}
UI_GUIDE_BODY_POWER	{Many pieces of base technology require <TECHNOLOGY>Power Modules<> to run. They must be wired up to a grid of <STELLAR>Generators<> and <STELLAR>Batteries<>. Large bases with lots of technology may require several generators to stay online.

Wiring is free to place. Select Electrical Wiring in the Build Menu (<IMG>BUILD_MENU<>) and place on a plug socket to begin laying wires. Snap wires directly to another plug socket or place along the ground to lay out interim paths.

Wires can be connected to <STELLAR>large structures<> using a <TECHNOLOGY>Transformer<>. Large structures will distribute power to all technology placed inside them.

Different generators have different capabilities. The <TECHNOLOGY>Biofuel Reactor<> requires manual fuelling.  <TECHNOLOGY>Solar Panels<> generate power automatically, but only during the day. The <TECHNOLOGY>Electromagnetic Generator<> generates power continuously, but must be sited on special <STELLAR>power hotspots<> located with the <TECHNOLOGY>Survey Device<> upgrade for the Analysis Visor.

<TECHNOLOGY>Batteries<> store surplus power from the grid and redistribute it when required. They are particularly efficient when used with <TECHNOLOGY>Solar Panels<>.}
UI_POWER_HINT_TITLE	{Base Power Low}
UI_POWER_HINT_MSG	{Construct <STELLAR>Additional Generators<> or <TECHNOLOGY>Batteries<>
Wire the new power modules to the existing grid
Access the Build Menu with <IMG>BUILD_MENU<>}
UI_GUIDE_TOPIC_SPACE_STATION	{Space Stations}
UI_GUIDE_BODY_SPACE_STATION	{Every inhabited system has a <STELLAR>Space Station<> serving as a hub for passing lifeforms. Speaking to lifeforms aboard the station may bring the opportunity to <COMMODITY>trade<>, <TECHNOLOGY>learn words<>, <SPECIAL>exchange star charts<> or <TRADEABLE>swap gifts and gain standing<>. Other lifeforms may offer the chance to <COMMODITY>purchase their starship<>.

<TECHNOLOGY>Technology Merchants<> selling <VAL_ON>Upgrades<> can also be found on the Space Station. Each station will have a different range of upgrades, so be sure to check in every system you visit.

Other key posts aboard the Space Station include the <TRADEABLE>Cartographer<>, who will exchange <STELLAR>Navigation Data<> for directions to points of interest; the <STELLAR>Guild Envoy<>, who offers rewards based on your standing with their guild; and the <SPECIAL>Mission Listings Agent<>, who offers local missions to improve your standing and earn valuable rewards.

Traders can visit the <VAL_ON>Galatic Trade Terminal<> to bulk purchase and sell goods. Different systems have different specialities, offering opportunity to the willing pilot.

Finally, every Space Station has a <TECHNOLOGY>Teleport Terminus<>, offering quick access to both <STELLAR>your base<> and <VAL_ON>previously visited systems<>.}
MISSION_OBJ_BONES	{Collect valuable bones}
NPC_MISSION_BONES_SUB	{Unearth Ancient Bones}
NPC_MISSION_BONES_HEAD_1	{UNEARTH ANCIENT BONES}
UI_BONES_MARKER	{Potential Dig Site}
UI_BONES_OBJ1	{Find Bones}
UI_BONES_OBJ1_TIP	{Scan planets from space with <IMG>SCAN<> to locate valuable <STELLAR>ancient bones<>.}
UI_BONES_OBJ2	{Collect Bones}
UI_BONES_OBJ2_TIP	{Collect <SPECIAL>Epic<> or <STELLAR>Legendary<> ancient bones.
Locate <STELLAR>Dig Sites<> using the <TECHNOLOGY>Analysis Visor<>.
Use the <TECHNOLOGY>Terrain Manipulator<> to excavate dig sites.}
UI_BONES_OBJ3	{Transmit artifact data to the client}
UI_BONES_OBJ3_TIP	{The client will allow you to keep the physical specimen, but has requested a complete 4D scan of the artifact is uploaded to their database.
Find the database uplink point at a <STELLAR>Trade Outpost<>.}
UI_BONES_OBJ1_MSG	{Potential <STELLAR>dig site<> located
Reach the target planet}
UI_BONES_OBJ2_MSG	{Potential <STELLAR>dig site<> located
Land on the target planet}
UI_BONES_OBJ3_MSG	{Collect <SPECIAL>Epic<> or <STELLAR>Legendary<> ancient bones
Locate <STELLAR>Dig Sites<> using the <TECHNOLOGY>Analysis Visor<>
Use the <TECHNOLOGY>Terrain Manipulator<> to excavate dig sites}
UI_BONES_OBJ4_MSG	{Transmit the data to the client at a <TECHNOLOGY>Trade Terminal<>}
NPC_MISSION_BONES_PROC_B_1	{Scanned genetic data is sufficient: they do not need the physical specimen.}
NPC_MISSION_BONES_PROC_B_2	{They require bones of all species. The fragments will be scanned and the records entered into their personal database.}
NPC_MISSION_BONES_PROC_B_3	{They seek explorers to aid them. Any unearthed bones will belong to the discoverer - they only ask for scan data or digital copies of the sample.}
NPC_MISSION_BONES_PROC_B_4	{They are particularly keen to recover scans of any ancient animal bones. Once recorded, the field agent is free to keep the physical specimen.}
NPC_MISSION_BONES_PROC_B_5	{There are large gaps in their historical records, and they seek field agents for paleontological expeditions to fill in this missing data.}
NPC_MISSION_BONES_PROC_C_1	{The client accepts no liability for any ancient curses that may afflict the field agent during the commission.}
NPC_MISSION_BONES_PROC_C_2	{The client accepts no liability should the field agent become trapped in a hole, a pit or any other excavation during the course of the commission.}
NPC_MISSION_BONES_PROC_C_3	{The client advises the field agent to show discretion in this matter and not to give away the location of any digsites to less scrupulous bone-hunters.}
NPC_MISSION_BONES_PROC_C_4	{They will independently verify any data. Those attempting to pass new skeletons as ancient will be reported to the relevant authorities.}
UI_MP_CONSTRUCT_TITLE_1	{The Joy of Home}
UI_MP_CONSTRUCT_DESC_1	{Polo and Nada both claim that creating a home with friends is a joy unlike any other. They seek an engineering crew of Travellers to venture out into the universe and construct something joyful together.}
UI_MP_CONSTRUCT_TITLE_2	{Niche In the Stars}
UI_MP_CONSTRUCT_DESC_2	{The Space Anomaly itself is an ongoing project for Specialist Polo. They endlessly tinker with the design of their home: expanding, enhancing, welcoming more friends aboard. But these friends are only visitors. Polo has asked for a cooperative group of Travellers to fly to a specific planet and there build their own niche in the stars.}
UI_MP_CONSTRUCT_TITLE_3	{Terrestrial Homes}
UI_MP_CONSTRUCT_DESC_3	{Their own home eternally adrift, Polo and Nada ask for their friends to build what they cannot: static, solid, planetary bases. They seek engineering crews to prototype these terrestrial homes, and upload the creations for the Anomaly’s records.}
UI_MP_CONSTRUCT_TITLE_4	{Civilised Space}
UI_MP_CONSTRUCT_DESC_4	{As more and more realities intertwine aboard the Space Anomaly, Traveller iterations converging in this hub of friendship, a pattern has become clear: there are more hubs out there, more pockets of civilised space. Polo is conducting research into the origins of these hubs. They seek engineering crews to establish the seeds of new habitable bases, in order to observe how they might flourish and grow.}
