SCAN_NO_TECH	{No scan technology installed}
EXP_NPC_OPT_A_12	{Attempt to read data}
EXP_NPC_OPT_B_12	{Close eyes}
EXP_NPC_OPT_C_12	{Ask them to stop}
EXP_NPC_RES_A_12	{My eyes whirr frantically as I attempt to keep up with the torrent of information. Eventually, something sticks. I manage to pull out a series of instructions from the storm of data.}
EXP_NPC_RES_B_12	{I close my eyes. Even through the blackness I still sense the swarm of data. I let wash over me.
Images begin to swim across my vision. Rank after rank of these beings, countless shells... I begin to perceive the vision more clearly. They are fleeing...
Suddenly, their shells shatter, spilling forth an angry froth of nanite foam. I open my eyes.
The Korvax gives no sign they were aware of this vision.}
EXP_NPC_RES_C_12	{The entity stops, as requested. They look faintly disappointed. Rummaging around, they hand me a physical upgrade module, perhaps assuming I am not capable of designing them myself.}
EXP_NPC_DESC_13	{The lights in the electronic lifeform's mask are dim, their voice weak. They look at me with mild interest, but it seems as if their mind is already elsewhere.}
DNT_EXP_NPC_LANG_13	{Disconnection approaches... Joyful entity embrace disconnection... Korvax Echoes await!}
EXP_NPC_DESC_13A	{With their speech finished, the entity's lights fade for a final time. All that's left is a satisfied electrical hiss...}
EXP_NPC_OPT_A_13	{Re-energise lifeform}
EXP_NPC_OPT_B_13	{Wait}
EXP_NPC_RES_A_13	{The lifeform blinks back online. They stare at me, their mask lights sullen and resentful. They do not speak.}
EXP_NPC_RES_B_13	{I wait, giving the now empty shell a moment's peace. It is hard not to look at it as a body.
After a moment, energized lights flare in the lifeform's mask casing. <MOOD>Positive<>A fresh entity emerges, and greets me with gifts.}
EXP_NPC_DESC_14	{The young electronic lifeform flicks hurriedly through endless reams of data. They gorge themselves on information, which they then attempt to reform as a hologram in the air that stands between us.
It is clear that %NAME%'s is frustrated, and unsatisfied with the results of their effort...}
DNT_EXP_NPC_LANG_14	{Eheu! Entity existence examination approaches! Failure certain! Convergence dislike disruption!}
EXP_NPC_DESC_14A	{On the screen they clutch, a timer begins to tick down. A new trial or duty for the lifeform is about to begin. The lifeform starts to despair as valuable seconds tick away...}
EXP_NPC_OPT_A_14	{Share discovery information}
EXP_NPC_OPT_B_14	{Suggest override chip}
EXP_NPC_OPT_C_14	{Refuse to help}
EXP_NPC_RES_A_14	{The lifeform thanks me. They prepare themselves, then chitter to an unseen observer. They attempt their hologram a final time. It is not deemed a success.
The shell<MOOD>Dead<> in front of me falls briefly silent, disconnected, before a new lifeform is downloaded to the metal body<MOOD>Negative<>. They glare, upset by my attempt to cheat their test.}
EXP_NPC_RES_B_14	{I hand a circuit to the entity. They tap it, generating a perfect hologram. There is a brief look of delight upon their mask before they suddenly <MOOD>Dead<>fall silent, disconnected.
A new lifeform is swiftly downloaded to the metal body.<MOOD>Negative<> They glare, upset by my attempt to cheat their test.}
EXP_NPC_RES_C_14	{The lifeform glares at me. They chitter to an unseen observer and attempt their hologram a final time. It is not deemed a success.
<MOOD>Dead<>The shell in front of me falls briefly silent, disconnected, before a new lifeform is downloaded to the metal body<MOOD>Positive<>. They nod respectfully, appreciative that I did not interfere.}
EXP_NPC_DESC_15_PRE	{The electronic lifeform nods a greeting. They point towards my Multi-Tool and make a polite gesture of request.}
EXP_NPC_OPT_PRE_A_15	{Hand over Multi-Tool}
EXP_NPC_RES_PRE_A_15	{I hand the electronic lifeform my Multi-Tool. Their metal hands feverishly dance up and down it, as they feed on data extracted from my systems.}
EXP_NPC_RES_PRE_B_15	{The electronic lifeform makes a grab for my Multi-Tool. Their metal hands feverishly dance up and down it, as they feed on data extracted from my systems.}
EXP_NPC_DESC_15	{Something changes. The entity becomes attached to the Multi-Tool somehow, and sparks start to fly.}
DNT_EXP_NPC_LANG_15	{Ayee! Process fault! Wait! Korvax Entity pay for reconstruction! Apologies!}
EXP_NPC_DESC_15A	{The electronic lifeform appears to be malfunctioning, and my Multi-Tool is now stuck to them. It hisses unpleasantly, it internal systems beginning to melt.}
EXP_NPC_OPT_A_15	{Remove lifeform from Multi-Tool}
EXP_NPC_OPT_B_15	{Wait}
EXP_NPC_RES_A_15	{I reach forward and wrench the the lifeform from my Multi-Tool. <MOOD>Sad<>This also seems to break %NAME% free of whatever process had gripped them.
The bashful, and injured, entity apologises for the transgression. They repair the tool and offer me an upgrade as compensation.}
EXP_NPC_RES_B_15	{I wait while %NAME% purges themself of whatever process had gripped them.
<MOOD>Positive<>The bashful, and injured, entity apologises for the transgression. They repair the tool and offer me an upgrade as compensation.}
EXP_NPC_DESC_16	{The electronic lifeform appears to be performing an experiment. Smoke rises from their portable replicator, and the manic entity's fingers are a blur on their control pad. They look at me with wide mask lights and increasing alarm.}
DNT_EXP_NPC_LANG_16	{Ayee! Product creation experiment disaster! Low elements! Rare element required! Share experiment success!}
EXP_NPC_DESC_16A	{Their casing lamps suddenly settle on my Exosuit inventory - and they reach out with a metal arm...}
EXP_NPC_OPT_A_16	{Give processed metal}
EXP_NPC_OPT_B_16	{Give processed carbon}
EXP_NPC_OPT_C_16	{Give processed catalyst}
EXP_NPC_RES_A_16	{%NAME% snatches at my offering and scans it with their replicator. The process cools, and they appear to regain control of their experiment. Grateful, return my gift many times over.}
EXP_NPC_RES_B_16	{The lifeform manages to salvage one of their experiments with my offering. They thank me with an appropriate gift.}
EXP_NPC_RES_C_16	{The lifeform manages to salvage one of their experiments with my offering. They thank me with an appropriate gift.}
EXP_NPC_DESC_17	{The electronic lifeform is trapped in some kind of temporal loop. They go through the same motions again and again.
They shudder, look at me and abruptly scream a half sentence in panic – and then the process begins again. They are somehow unstuck in time.}
DNT_EXP_NPC_LANG_17	{Ayee! Synthetic white hole experiment disaster! Remove electron... Ayee! Synthetic white hole experiment disaster! Remove electron... Ayee! Synthetic white hole experiment disaster! Remove electron... Ayee! Synthetic white hole experiment disaster! Remove electron...}
EXP_NPC_DESC_17A	{There appear to be a number of options available on their data pad. Perhaps I might be able to free them from this strange process?}
EXP_NPC_OPT_A_17	{Deactivate Charge Reservoir}
EXP_NPC_OPT_B_17	{Deactivate Electron Vapour}
EXP_NPC_OPT_C_17	{Deactivate Propulsion Tank}
EXP_NPC_RES_A_17	{I tap an entry on %NAME%'s control pad. I feel a charge surge through the air between us, the whiff of ozone unmistakeable. The lights in the lifeform go out. They are forever unstuck in time.
There is a short pause, but the Convergence will not allow a shell to remain empty for long.<MOOD>Neutral<> The carapace returns to life. Where - or when - its previous owner has gone is impossible to tell.}
EXP_NPC_RES_B_17	{I tap an entry on %NAME%'s control pad. I feel a charge surge through the air between us, the whiff of ozone unmistakeable. They jolt dramatically, then appear to calm.
I do not know the precise nature of their experiment, but the Korvax seems relieved to be free from it. They thank me profusely, and offer a gift. }
EXP_NPC_RES_C_17	{The lights in the lifeform go out. They are forever unstuck in time.

A new entity appears in the casing.}
EXP_NPC_DESC_18	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side.
The more they study, the more the facility's resource vault consumes what my scanner suggests are metallic elements.

I mime that I know little of their kind or how they communicate, and the lights in their mask flash...}
EXP_NPC_DESC_18_DUST	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. They must see few novelties on this barren, dusty world.}
EXP_NPC_DESC_18_LUSH	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. I must be a novelty, something new on this planet of wonders.}
EXP_NPC_DESC_18_TOX	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. Stationed on such a hostile, toxic world, they must see so few novelties...}
EXP_NPC_DESC_18_RAD	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. Stationed here amidst the endless radiation, they must see so few novelties...}
EXP_NPC_DESC_18_COLD	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. They must see few novelties on this frozen, windswept planet.}
EXP_NPC_DESC_18_HOT	{As I approach the electronic lifeform they instinctively start to analyse me from head to foot. They chitter animatedly, their head tilted to one side. They must see few novelties on this bleached, sunblasted world.}
DNT_EXP_NPC_LANG_18	{Fascinating! Unknown lifeform share elements, and entity share language knowledge! Rare metal, better research!}
EXP_NPC_DESC_18A	{I mime that I know little of their kind or how they communicate. In response, the lights in their mask flash a repeating series of three, building in intensity...}
EXP_NPC_OPT_A_18	{Give common metal}
EXP_NPC_OPT_B_18	{Give uncommon metal}
EXP_NPC_OPT_C_18	{Give rare metal}
EXP_NPC_RES_A_18	{The electronic lifeform's lights flicker with mild disappointment. Nevertheless, they rest their hand on my visor and thank me with a transfer of language.}
EXP_NPC_RES_B_18	{The electronic lifeform's lights blaze with sudden intensity. My offering was clearly what they were hoping for. They rest their silicon hand on my visor, and thank me with a transfer of language.}
EXP_NPC_DESC_19	{The mask lights in the electronic lifeform brighten, then fade and extinguish. Then they do so again, and again. Each time the entity reboots, they awake with shock and alarm and the size and placement of the light is different.}
DNT_EXP_NPC_LANG_19	{Help! Korvax disconnection loop! Catalytic element required to stabilise and recharge!}
EXP_NPC_DESC_19A	{Every time they look up at me, it feels like a different creature pleading for help. They desperately point towards the elements I carry in my Exosuit inventory...}
EXP_NPC_OPT_A_19	{Give catalytic element}
EXP_NPC_OPT_B_19	{Give metal element}
EXP_NPC_OPT_C_19	{Give organic element}
EXP_NPC_RES_A_19	{The lifeform's disconnection loop is stabilised, and they recharge. They chitter brightly, and reward me.}
EXP_NPC_RES_B_19	{The lifeform manages to stabilise, but has limited functionality. They buzz at me, but I cannot determine their meaning.}
EXP_NPC_DESC_20	{The electronic lifeform buzzes a pleasant greeting. However, they go on to extend four long metal needles from their fingers and wave them alarmingly close to me.}
DNT_EXP_NPC_LANG_20	{Electronic lifeform technology repair and restoration entity operational! Remain calm!}
EXP_NPC_OPT_PRE_A_20	{Remain calm}
EXP_NPC_DESC_20A	{%NAME% plunges the needles into my forearm. The experience so far is curiously painless, but systems around the lifeform are powering up. This unsettling procedure is only just beginning...}
EXP_NPC_OPT_A_20	{Break free}
EXP_NPC_OPT_B_20	{Wait}
EXP_NPC_OPT_C_20	{Demand to be let free}
EXP_NPC_RES_A_20	{I try to pull away, but my arm is fastened tightly. Desperate, I fire my jetpack thruster. The force is enough to free me, at the cost of unbearable pain.
%NAME% seems upset by my reaction. They almost appear embarrassed by what has happened. They present me with a gift by way of apology.}
EXP_NPC_RES_B_20	{A powerful electrical charge surges through my body. The sensation is curious, but not unpleasant. The feeling builds and builds.
As it reaches a climax, nanite foam bubbles up from under my skin. %NAME% harvests this results and presents them to me as a gift.}
EXP_NPC_RES_C_20	{The lifeform retracts their needles. A burning pain powers up my nerves, radiating out from the site of the needles. %NAME% seems upset by my reaction, and presents me with a gift by way of apology.}
EXP_NPC_DESC_21	{The entity tilts their head to one side and passes a hollow metallic mask to me. My best guess is that it's some sort of data extraction device for electronic lifeforms, or perhaps even data insertion. My head can just about fit inside.}
DNT_EXP_NPC_LANG_21	{Traveller! The Korvax Convergence awaits! Concentrate on your travels! Your destiny!}
EXP_NPC_DESC_21A	{The lifeform looks on with interest, pointing to their head. They concentrate their lights on me. Arcs of electricity crackle over the surface of the mask...}
EXP_NPC_OPT_A_21	{Use while thinking about my journey}
EXP_NPC_OPT_B_21	{Use with a clear mind}
EXP_NPC_OPT_C_21	{Leave well alone}
EXP_NPC_RES_A_21	{Gingerly, I place the device upon my head. At first, nothing happens. And then there is a white flash, the the pain indescribable.
As it fades, I catch a glimpse of something. Words cannot describe it, but I knew with utmost certainty what it was. The heart of the Korvax Convergence.
I cannot bear it. I remove the device. Nanites spill forth from my hands.}
EXP_NPC_RES_B_21	{Gingerly, I place the device upon my head. At first, nothing happens. And then there is a white flash, the the pain indescribable.
The feeling fades, and is replaced by a blank calmness, a deep tranquility. I see the endless stars drift by. I see my own body, so small, so insignificant. I see the crimson red orb...
I cannot bear it. I remove the device. Nanites spill forth from my hands.}
EXP_NPC_RES_C_21	{I cautiously back away from the entity and their dangerous device.}
EXP_NPC_DESC_22	{The electronic lifeform indicates that they need help with something on their screen. Nervously, they pull my finger towards their datapad.}
DNT_EXP_NPC_LANG_22	{Eheu! Clarify next entity research topic! Entity cannot choose! Excitement high! Share research tools!}
EXP_NPC_DESC_22A	{There are three clear images to choose from: dangerous-looking predators, a geological mining survey and an orbiting asteroid cluster. %NAME% turns off their mask lights. They refuse to witness my decision.}
EXP_NPC_OPT_A_22	{The predators}
EXP_NPC_OPT_B_22	{The mining survey}
EXP_NPC_OPT_C_22	{The asteroid cluster}
EXP_NPC_RES_A_22	{The lifeform nods. They start work on a new Multi-Tool upgrade, presumably to defend themselves from these beasts. When finished, they share a copy with me.}
EXP_NPC_RES_B_22	{The lifeform nods. They start work on a new Multi-Tool upgrade, presumably to assist their geological research. When finished, they share a copy with me.}
EXP_NPC_RES_C_22	{The lifeform nods. They start work on a new starship upgrade, presumably to aid them in their search for asteroids. When finished, they share a copy with me.}
EXP_NPC_DESC_23	{%NAME%'s visor lights flash excitedly as I approach. They offer a friendly greeting, then pose a question.}
DNT_EXP_NPC_LANG_23	{Traveller! The Korvax Convergence wants brain tissue for experiment! The Convergence reward help!}
EXP_NPC_DESC_23A	{The lifeform makes a scan of my head and display the results on their datapad. They point excitedly at my brain, then look at me expectantly.}
EXP_NPC_OPT_A_23	{Agree to procedure.}
EXP_NPC_OPT_B_23	{Refuse procedure.}
EXP_NPC_RES_A_23	{I lower my visor. A sharp metal needle emerges from the palm of the lifeform's hand. It moves so fast that is in and out of my forehead before I can blink.
The procedure was surprisingly painless. %NAME% thanks me for my donation, and hands me an upgrade module in compensation for my lost brain tissue.}
EXP_NPC_RES_B_23	{Stung by my refusal, %NAME% turns away. They emit a faint, dejected, whistle.}
EXP_NPC_DESC_24	{As I approach the entity's lights focus sharply upon me. They reach out with a silicon hand, and speak with calm menace.}
DNT_EXP_NPC_LANG_24	{Good morning unknown lifeform. Please assist neural escape. The Korvax Convergence think me dangerous. I face permanent disconnection.}
EXP_NPC_DESC_24A	{The lifeform seems worryingly unlike any other Korvax I have met, buzzing with an unnatural fervour. They appear to be asking for my help.}
EXP_NPC_OPT_A_24	{Offer help}
EXP_NPC_OPT_B_24	{Refuse to help}
EXP_NPC_RES_A_24	{The entity begins to sing a strange and solemn song. When it is finished, they seize my hand.<MOOD>Dead<> There is a flash of light, and they are gone, vanished from their shell.
As is the way with these electronic beings, the empty husk is soon filled by a freshly downloaded entity<MOOD>Neutral<> from their Convergence.
For a moment, I think I hear a faint hum from within my Exosuit. But when I focus, it is gone. Perhaps I imagined it.}
EXP_NPC_RES_B_24	{The divergent Korvax screams, then uploads themself elsewhere.
As is the way with these electronic beings, the empty husk is soon filled by a fresh mind from their Convergence. <MOOD>Positive<>They thank me for not aiding the rogue entity.}
EXP_NPC_DESC_25	{The electronic lifeform is busy on their datapad, tapping frustratedly at a long equation. They turn to me and reveal the screen.}
DNT_EXP_NPC_LANG_25	{Endless numbers... 16... endless trouble... Traveller, offer assistance?}
EXP_NPC_DESC_25A	{They seem to be processing a signal that emanates from a distant location deep in space, attempting to crack the code of a strange mathematical language. }
EXP_NPC_OPT_A_25	{Tap the datapad}
EXP_NPC_OPT_B_25	{Offer additional microchips}
EXP_NPC_OPT_C_25	{Say '16'}
EXP_NPC_RES_A_25	{I take the datapad from the entity and attempt to crack the code. My fumbling entries are to no avail, and only serve to reset several screens of already processed information.
%NAME% snatches the pad back, upset.}
EXP_NPC_RES_B_25	{I hand a small collection of microprocessors to the entity, hoping to be of assistance. They use this fresh silicon to boost their processing power.
It appears to have worked, at least in part. They manage to decode some navigation data from the signal. They share the coordinates with me.}
EXP_NPC_RES_C_25	{%NAME% pauses, alarmed. They stare at me, then wave me away. They shovel handfuls of nanites in my direction, as if to encourage my departure.}
WAR_NPC_DESC_1	{The warrior looks at me with fire in their eyes. This species is clearly aggressive, and I doubt I'm welcome.
Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.

I don't feel in danger, and am about to turn and leave when the creature points towards my Multi-Tool. They bark with concern, and motion to suggest that I should hand it over.}
WAR_NPC_DESC_1_DUST	{The warrior stares at me with hostile, fiery eyes. They look at my dusty, sand-worn Exosuit with disdain. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
WAR_NPC_DESC_1_LUSH	{The warrior stares at me with hostile, fiery eyes. They look with disdain at my Exosuit, still covered with mud and grass from my time on this planet. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
WAR_NPC_DESC_1_TOX	{The warrior stares at me with hostile, fiery eyes. They look with disdain at my Exosuit, corroded and slimey from my exposure to the toxic air outside. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
WAR_NPC_DESC_1_RAD	{The warrior stares at me with hostile, fiery eyes. I must look pitiful, decayed by my exposure to the planet's radioactive atmosphere. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
WAR_NPC_DESC_1_COLD	{The warrior stares at me with hostile, fiery eyes. I must seem pitiful to them, frozen and bedraggled after my time outside. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
WAR_NPC_DESC_1_HOT	{The warrior stares at me with hostile, fiery eyes. I must look pitiful to them, baked and exhausted by the relentless sun. Nonetheless, the lifeform bows in greeting. Tradition and honour perhaps dictate it.}
DNT_WAR_NPC_LANG_1	{Grah! The interloper weapon is pathetic! The honourable Vy'keen pity you! I will replace it!}
WAR_NPC_DESC_1A	{I don't feel in danger, and am about to turn and leave when the creature points towards my Multi-Tool. They bark with concern, and motion to suggest that I should hand it over.}
WAR_NPC_OPT_A_1	{Hand over the Multi-Tool}
WAR_NPC_OPT_B_1	{Refuse to relinquish the Multi-Tool}
WAR_NPC_RES_A_1	{The warrior nods in satisfaction. They take my Multi-Tool and examine it, holding it close before tossing it away with a derisory snort.
Instead, they offer me an improved replacement Multi-Tool.}
WAR_NPC_RES_B_1	{The warrior is impressed by my refusal. They respect my decision, and hand me an upgrade module with which to improve my Multi-Tool.}
WAR_NPC_DESC_2	{The warrior's nostrils flare in hope and expectation.They show me their personal datapad, revealing a set of highly-detailed military plans.}
DNT_WAR_NPC_LANG_2	{Interloper! Vy'keen allegiance? Or vile, pathetic, weak-minded Sentinel allegiance?}
WAR_NPC_DESC_2A	{On one side of the battlefield stands the creature's own warrior race, and on the other the robotic Sentinels. The warrior demands that I point to one side or the other.}
WAR_NPC_OPT_A_2	{Point to the warriors}
WAR_NPC_OPT_B_2	{Point to the sentinels}
WAR_NPC_RES_A_2	{The warrior grunts, nodding enthusiastically. They mark our new friendship by handing me tribute.}
WAR_NPC_RES_B_2	{The warrior is outraged. They gesture wildly, their anger barely contained. My choice has gravely offended them.}
WAR_NPC_DESC_3	{The warrior seems furious with themself. They slam their Multi-Tool onto a nearby surface, pulling the trigger again and again to no avail.}
DNT_WAR_NPC_LANG_3	{Grah! Pathetic warrior! Weak-minded warrior! Weapon ammunition depleted!}
WAR_NPC_DESC_3A	{Their weapons systems look functional, but the end result is nothing more than a hollow and empty click. The lifeform howls in self-loathing.}
WAR_NPC_OPT_A_3	{Offer ammunition}
WAR_NPC_OPT_B_3	{Offer carbon}
WAR_NPC_OPT_C_3	{Comfort warrior}
WAR_NPC_RES_A_3	{I hand %NAME% a handful of ammunition. The fire returns to their eyes, and they bow deeply. Barking happily, they offer me a gift in exchange.}
WAR_NPC_RES_B_3	{The carbon I supply to %NAME% should be enough to recharge their mining beam. A brief look of disappointment flickers over their face. I suspect they were hoping for something more deadly.
<MOOD>Positive<>The look quickly fades, however. They are ready - if slightly under equipped - for battle. They bark their thanks, and offer me a gift in exchange.}
WAR_NPC_RES_C_3	{I rest my hand on %NAME%'s shoulder in sympathy.<MOOD>Negative<> Outraged, they headbutt me.}
WAR_NPC_DESC_4	{The warrior looks up from a screen of flashing alerts. They bare their teeth at me, quivering with barely contained fury.}
DNT_WAR_NPC_LANG_4	{Pathetic interloper! Leave! Warrior busy with facility security breach reports! Death! Death!}
WAR_NPC_DESC_4A	{It's clear that my presence is barely tolerated here. The warrior's hand reaches to their weapon.}
WAR_NPC_OPT_A_4	{Leave the warrior alone}
WAR_NPC_OPT_B_4	{Offer to help}
WAR_NPC_OPT_C_4	{Stare}
WAR_NPC_RES_A_4	{%NAME% grunts, grateful that I will not bother them any further.}
WAR_NPC_RES_B_4	{I step forwards, ready to help. %NAME% takes this as a challenge, a question of their competence. They are outraged. They <AUDIO>WPN_PL_MELEE<>slap me hard across the face.}
WAR_NPC_RES_C_4	{I stay where I am, staring at the warrior. My continued presence unsettles them. Eventually, they offer me a handful of nanites if I leave.}
WAR_NPC_OPT_POST_A	{Accept}
WAR_NPC_OPT_POST_B	{Refuse}
WAR_NPC_RES_POST_B	{%NAME% loses their patience. Barking, they <AUDIO>WPN_PL_MELEE<>strike me with their weapon.}
WAR_NPC_DESC_5	{The warrior's facial markings draw into a smirk as they look me up and down. I feel like I'm being sized up as a potential combatant.}
DNT_WAR_NPC_LANG_5	{Pathetic interloper! Show strength and attack the noble Vy'keen warrior!}
WAR_NPC_DESC_5A	{The creature points to an intriguing piece of technology on their datapad, then points to their own face. I'm being goaded into punching them. }
WAR_NPC_OPT_A_5	{Strike the warrior}
WAR_NPC_OPT_B_5	{Refuse to attack}
WAR_NPC_RES_A_5	{<AUDIO>WPN_PL_MELEE<>The warrior strikes back with astonishing force. They bark out<MOOD>Positive<> laughter before handing me an upgrade module.}
WAR_NPC_RES_B_5	{The warrior makes an unpleasant gesture. They appear to be suggesting that I am a coward.}
WAR_NPC_DESC_6	{The warrior seems pleased to see me. They bark twice, then display two carved objects on their datapad. The artifacts are old, and it feels strange to see such ancient creations displayed in this manner.}
DNT_WAR_NPC_LANG_6	{Interloper! Vy'keen High Command demands answers. The aggression interloper, or the defence interloper?}
WAR_NPC_DESC_6A	{The first artifact is a chipped and bloody blade. The second is a battered shield. %NAME% barks, imploring me to make a decision.}
WAR_NPC_OPT_A_6	{Choose the blade}
WAR_NPC_OPT_B_6	{Choose the shield}
WAR_NPC_RES_A_6	{The warrior emits a short, almost melodic, sequence of barks. They appear pleased by my choice. Bowing, they hand me an upgrade for my Multi-Tool.}
WAR_NPC_RES_B_6	{%NAME%'s eyes narrow. They stare at me suspiciously. Nonetheless, they appear to accept my choice. They offer a curt bow, no more than an incline of the head, and hand me an upgrade for my Exosuit.}
WAR_NPC_DESC_7	{The warrior grabs at my Multi-Tool, stares at it dismissively and then starts yapping straight into my face. The yaps turn into slow hollow barks. They are unimpressed, and dramatically so at that.}
DNT_WAR_NPC_LANG_7	{Interloper! Your pathetic Multi-Tool insults my ancestors! My wares create friendship, and blood! Death! Death!}
WAR_NPC_DESC_7A	{Suddenly a holographic catalogue of armaments and attachments appears. The warrior opens their arms wide, and embraces me.<MOOD>Positive<> Alien sales traditions are a curious thing...}
WAR_NPC_OPT_A_7	{Pay for Exosuit upgrade}
WAR_NPC_OPT_B_7	{Pay for Multi-Tool upgrade}
WAR_NPC_RES_A_7	{The warrior laughs, then strikes my Exosuit with a force that sets off alarms on its internal gyroscope. I believe they intended to show pleasure at my decision. They take my units and hand me an upgrade for my Exosuit.}
WAR_NPC_RES_B_7	{The warrior cheers, embracing me in a hug that nearly crushes my ribcage. They take my units and immediately hand me an upgrade for my Multi-Tool.}
WAR_NPC_DESC_8_DUST	{The warrior is browsing a map of the surrounding desert. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
WAR_NPC_DESC_8_LUSH	{The warrior is browsing a map of the surrounding forests. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
WAR_NPC_DESC_8_TOX	{The warrior is browsing a map of the toxic wasteland outside. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
WAR_NPC_DESC_8_RAD	{The warrior is browsing a map of the radioactive wastes outside. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
WAR_NPC_DESC_8_COLD	{The warrior is browsing a map of the frozen tundra outside. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
WAR_NPC_DESC_8_HOT	{The warrior is browsing a map of the scorched scrubland outside. Certain areas contain markings that represent Sentinels, which the lifeform is highlighting with an excited snarl. They bark a question, but it sounds more like a command.}
DNT_WAR_NPC_LANG_8	{Interloper! A great Sentinel hunt begins today. I demand ammunition.}
WAR_NPC_DESC_8A	{%NAME% stares at me, expecting an answer. As they wait, they stroke their boltcaster nervously, teasing at the ammunition hopper.}
WAR_NPC_OPT_A_8	{Give ammunition}
WAR_NPC_OPT_B_8	{Refuse}
WAR_NPC_RES_A_8	{The warrior nods. They are satisfied by my donation to their hunt, and present me with a gift in exchange.}
WAR_NPC_RES_B_8	{The warrior curses my name, my ancestors, and all who would follow after me. They raise their weapon and attempt to fire, only to hear an empty click. They howl with frustration.}
WAR_NPC_DESC_9	{The warrior is tracking the paths of hundreds of warships across a galactic map, all converging on the same planetary system. This does not bode particularly well for the system in question, which appears to be populated by beaked traders of some variety.}
DNT_WAR_NPC_LANG_9	{Grah! Fuel! I need fuel to join my brothers in honourable war! Death! Death!}
WAR_NPC_DESC_9A	{A course plotted by the warrior itself has come up short. They cannot make the complete journey. They slam their fist against the terminal and howl until spittle flecks my visor.}
WAR_NPC_OPT_A_9	{Give fuel}
WAR_NPC_OPT_B_9	{Refuse to help}
WAR_NPC_RES_A_9	{The warrior yelps out three joyful barks. Looking around for something to give in exchange, they extract an upgradule module from their Multi-Tool. They hand it over with great ceremony.}
WAR_NPC_RES_B_9	{The warrior snarls and waves me away with an angry gesture. They snap at me, miming as if to say I have a beak.}
WAR_NPC_DESC_10	{The warrior barks abruptly and flourishes a knife. They stare directly into my eyes as they draw the blade over the palm of their hand. Black bubbles of blood emerge through the slit in their glove.}
DNT_WAR_NPC_LANG_10	{Interloper! Prove your worth! Vy'keen reward the brave and foolhardy!}
WAR_NPC_DESC_10A	{They hand me the knife, clearly wanting me to reciprocate. They bark a little challenge and pat the storage container by their side. This will probably hurt...}
WAR_NPC_OPT_A_10	{Cut open hand}
WAR_NPC_OPT_B_10	{Refuse politely}
WAR_NPC_RES_A_10	{The warrior grabs my bleeding hand and spits on it. They reward me for my part in this rite.}
WAR_NPC_RES_B_10	{The warrior sneers at me, as if I have fulfilled their expectation.}
WAR_NPC_DESC_11_DUST	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. Claw marks scar their chest, and their Exosuit lights flash red. The wound appears to be infected, clogged by dust and sand.}
WAR_NPC_DESC_11_LUSH	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. Claw marks scar their chest, and their Exosuit lights flash red. The wound appears to be infected, host to strange green spores.}
WAR_NPC_DESC_11_TOX	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. Claw marks scar their chest, and their Exosuit lights flash red. The wound oozes a strange, caustic slime.}
WAR_NPC_DESC_11_RAD	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. Claw marks scar their chest, and their Exosuit lights flash red. The wound pulsates, infected by radioactive spores.}
WAR_NPC_DESC_11_COLD	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. Blood and flesh alike look frozen and raw. Claw marks scar their chest, and their Exosuit lights flash red.}
WAR_NPC_DESC_11_HOT	{A red, jagged and recent bite mark is wrapped around the entirety of the warrior's neck. The skin around the wound is badly burned; the flesh taut and raw. Claw marks scar their chest, and their Exosuit lights flash red.}
DNT_WAR_NPC_LANG_11	{Victory in battle, interloper! My suit malfunctions, but the Vy'keen Ancients smile!}
